Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float,standard,2,10000000,100,2.032336,0.019638671875,0.429794921875,2.288033814679819,2.2880344400420984,5.296535750324344,5.296538671682272,inf,inf,1.4480750260783588,1.4480751297985983,-inf,-inf,[ 2.47823731 -0.17493404],"[2.4782378673553467, -0.1749342679977417]","[0.75, 0.75]"
float8,standard,2,25000000,100,3.225447,0.019619140625,0.69458984375,2.2883061464088805,2.2883061464088867,5.297797457817715,5.2977974578177385,inf,inf,1.448112311133751,1.448112311133752,-inf,-inf,[ 2.47848159 -0.17504831],"[2.4784815925108052, -0.17504831037342208]","[0.75, 0.75]"
float,standard,2,25000000,100,3.224905,0.019736328125,0.692998046875,2.2883061464088805,2.288306077369556,5.297797457817715,5.297797135265084,inf,inf,1.448112311133751,1.4481122996848028,-inf,-inf,[ 2.47848159 -0.17504831],"[2.4784815311431885, -0.17504841089248657]","[0.75, 0.75]"
float8,standard,2,50000000,100,6.115239,0.01966796875,1.18,2.2880736042573426,2.288073604257625,5.29671995003108,5.296719950032457,inf,inf,1.448080771886488,1.4480807718865398,-inf,-inf,[ 2.47827259 -0.17495139],"[2.478272591769401, -0.17495138613659367]","[0.75, 0.75]"
float,standard,2,50000000,100,6.186827,0.019716796875,1.18,2.2880736042573426,2.2880736995446846,5.29671995003108,5.296720395170163,inf,inf,1.448080771886488,1.448080787690123,-inf,-inf,[ 2.47827259 -0.17495139],"[2.4782726764678955, -0.1749514490365982]","[0.75, 0.75]"
float8,standard,2,75000000,100,9.192951,0.01970703125,1.64,2.2882300926519736,2.288230092651982,5.29744956144968,5.297449561449721,inf,inf,1.4481229238156335,1.448122923815636,-inf,-inf,[ 2.47842694 -0.17499489],"[2.478426937568478, -0.17499489148922678]","[0.75, 0.75]"
float,standard,2,75000000,100,9.068241,0.019755859375,1.64,2.2882300926519736,2.2882298196162347,5.29744956144968,5.297448285863245,inf,inf,1.4481229238156335,1.4481228785370586,-inf,-inf,[ 2.47842694 -0.17499489],"[2.478426694869995, -0.17499476671218872]","[0.75, 0.75]"
float8,standard,2,100000000,100,12.182859,0.019658203125,2.08,2.288272313192092,2.2882723131921754,5.297647806619758,5.297647806620154,inf,inf,1.448140504053912,1.4481405040539252,-inf,-inf,[ 2.47847279 -0.17499996],"[2.4784727878082817, -0.1749999585593331]","[0.75, 0.75]"
float,standard,2,100000000,100,12.095731,0.019677734375,2.08,2.288272313192092,2.288273029927953,5.297647806619758,5.297651155178456,inf,inf,1.448140504053912,1.44814062290833,-inf,-inf,[ 2.47847279 -0.17499996],"[2.478473424911499, -0.17500023543834686]","[0.75, 0.75]"
float8,standard,2,250000000,100,30.502891,0.019677734375,4.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813426 -0.17484367],[-1],"[0.75, 0.75]"
float,standard,2,250000000,100,30.665917,0.01970703125,4.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813426 -0.17484367],[-1],"[0.75, 0.75]"
float8,standard,2,500000000,100,61.575488,0.01970703125,9.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47817461 -0.17486499],[-1],"[0.75, 0.75]"
float,standard,2,500000000,100,61.804061,0.019677734375,9.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47817461 -0.17486499],[-1],"[0.75, 0.75]"
float8,standard,2,750000000,100,92.928981,0.019638671875,13.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47812338 -0.17485715],[-1],"[0.75, 0.75]"
float,standard,2,750000000,100,93.029665,0.01970703125,13.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47812338 -0.17485715],[-1],"[0.75, 0.75]"
float8,standard,2,1000000000,100,123.810629,0.01970703125,18.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813588 -0.17486444],[-1],"[0.75, 0.75]"
float,standard,2,1000000000,100,124.297645,0.0197265625,18.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[ 2.47813588 -0.17486444],[-1],"[0.75, 0.75]"
float8,standard,3,10000000,100,2.755596,0.020546875,0.508759765625,4.233958069928806,4.233958069928808,19.407290138880693,19.407290138880715,inf,inf,1.6250948683948707,1.6250948683948707,-inf,-inf,[ 2.367875    2.36635404 -0.96056912],"[2.36787500089885, 2.3663540449615015, -0.9605691219215458]","[0.75, 0.75, 0.75]"
