Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,DuckDB-L2-Norm,Tensorflow-L2-Norm,DuckDB-MSE,Tensorflow-MSE,DuckDB-Sum,Tensorflow-Sum
double,standard,1,100,100,10,0.04799,0.002314453125,0.0423046875,1.3644455783656553e-14,0.0,1.861711736321588e-29,0.0,138.1795016450105,138.1795016450105
double,kahan,1,100,100,10,0.104679,0.002314453125,0.041748046875,3.972054645195637e-15,0.0,1.5777218104420236e-30,0.0,138.1795016450105,138.1795016450105
double,standard,2,100,100,10,0.044702,0.002236328125,0.03115234375,-1,-1,-1,-1,116.59196148557494,-1
double,kahan,2,100,100,10,0.040838,0.002236328125,0.029833984375,-1,-1,-1,-1,116.59196148557494,-1
double,standard,3,100,100,10,0.034482,0.00220703125,0.04150390625,2.27743711724632,0.0,0.5186719823011229,0.0,29.25559833470242,27.594362215723507
double,kahan,3,100,100,10,0.044945,0.00220703125,0.0451953125,2.2774371172463206,0.0,0.5186719823011231,0.0,29.25559833470242,27.594362215723507
double,standard,4,100,100,10,0.058735,0.002275390625,0.045,5.617333549722722e-15,0.0,3.1554436208840472e-30,0.0,138.1795016450105,138.1795016450105
double,kahan,4,100,100,10,0.047048,0.002275390625,0.044970703125,3.552713678800501e-15,0.0,1.262177448353619e-30,0.0,138.1795016450105,138.1795016450105
float,standard,1,100,100,10,0.049179,0.002314453125,0.043232421875,4.4165212269141295e-06,1.1955204611794251e-06,1.950565974778309e-12,1.4292691730986653e-13,138.179504,138.1795
float,kahan,1,100,100,10,0.046529,0.002314453125,0.04150390625,1.6297976280538403e-06,1.1955204611794251e-06,2.656240308409924e-13,1.4292691730986653e-13,138.17950499999998,138.1795
float,standard,2,100,100,10,0.023261,0.002236328125,0.029892578125,-1,-1,-1,-1,116.591961575259,-1
float,kahan,2,100,100,10,0.021388,0.002236328125,0.0295703125,-1,-1,-1,-1,116.591961575259,-1
float,standard,3,100,100,10,0.042597,0.00220703125,0.043056640625,2.2774369150364855,3.506083227180835e-07,0.5186718901970905,1.2292619595918778e-14,29.255598000000003,27.594362
float,kahan,3,100,100,10,0.04435,0.00220703125,0.04107421875,2.277436921079127,3.506083227180835e-07,0.5186718929494373,1.2292619595918778e-14,29.2555983,27.594362
float,standard,4,100,100,10,0.047248,0.002275390625,0.043271484375,3.093363477258549e-06,1.1955204611794251e-06,9.5688976024371e-13,1.4292691730986653e-13,138.179503,138.1795
float,kahan,4,100,100,10,0.045023,0.002275390625,0.044609375,1.1289953167841626e-06,1.1955204611794251e-06,1.2746304253205716e-13,1.4292691730986653e-13,138.17950299999998,138.1795
bfloat,standard,1,100,100,10,0.052045,0.00228515625,0.0428125,0.44811213481263656,0.09264588564037157,0.020080448536633856,0.0008583260126088808,137.3125,138
bfloat,kahan,1,100,100,10,0.052023,0.00228515625,0.043193359375,0.09525939256951582,0.09264588564037157,0.0009074351872713126,0.0008583260126088808,138.4375,138
bfloat,standard,2,100,100,10,0.035446,0.00220703125,0.033603515625,-1,-1,-1,-1,116.602795359144,-1
bfloat,kahan,2,100,100,10,0.03157,0.00220703125,0.03064453125,-1,-1,-1,-1,116.602795359144,-1
bfloat,standard,3,100,100,10,0.042681,0.002177734375,0.043701171875,2.26510724503771,0.019984075586186503,0.5130710831522325,3.9936327703441536e-05,29.25,27.5
bfloat,kahan,3,100,100,10,0.048033,0.002177734375,0.040771484375,2.2847400614209006,0.019984075586186503,0.522003714826158,3.9936327703441536e-05,29.265625,27.5
bfloat,standard,4,100,100,10,0.039947,0.00224609375,0.042646484375,0.18231244698896182,0.09264588564037157,0.003323782832710301,0.0008583260126088808,138.5,138
bfloat,kahan,4,100,100,10,0.049531,0.00224609375,0.043759765625,0.09192676290575051,0.09264588564037157,0.0008450529738330069,0.0008583260126088808,138.3125,138
double,standard,1,400,400,20,0.0466,0.00232421875,0.044072265625,1.1212175250861022e-13,0.0,6.285643692801022e-28,0.0,1101.2618192571656,1101.2618192571656
double,kahan,1,400,400,20,0.048071,0.00232421875,0.045712890625,3.014577520672848e-14,0.0,4.543838814073028e-29,0.0,1101.2618192571656,1101.2618192571656
double,standard,2,400,400,20,0.047599,0.00224609375,0.029990234375,-1,-1,-1,-1,854.1006662381573,-1
double,kahan,2,400,400,20,0.043974,0.00224609375,0.027890625,-1,-1,-1,-1,854.1006662381573,-1
double,standard,3,400,400,20,0.045432,0.002216796875,0.041748046875,5.116967713751239,0.0,1.3091679291786293,0.0,108.28964470240655,106.86741030874666
double,kahan,3,400,400,20,0.045913,0.002216796875,0.046416015625,5.116967713751239,0.0,1.3091679291786291,0.0,108.28964470240655,106.86741030874666
double,standard,4,400,400,20,0.047595,0.00228515625,0.0428125,3.9561345224328346e-14,0.0,7.825500179792437e-29,0.0,1101.2618192571656,1101.2618192571656
double,kahan,4,400,400,20,0.041019,0.00228515625,0.043818359375,3.014577520672848e-14,0.0,4.543838814073028e-29,0.0,1101.2618192571656,1101.2618192571656
float,standard,1,400,400,20,0.043579,0.002314453125,0.043203125,7.757192390941216e-05,9.273305108257114e-06,3.0087016895038147e-10,4.299709381541375e-12,1101.26197,1101.2617
float,kahan,1,400,400,20,0.029597,0.002314453125,0.04607421875,5.671193285459152e-06,9.273305108257114e-06,1.6081216640518488e-12,4.299709381541375e-12,1101.261818,1101.2617
float,standard,2,400,400,20,0.036938,0.00224609375,0.027978515625,-1,-1,-1,-1,854.1006658679505,-1
float,kahan,2,400,400,20,0.062241,0.00224609375,0.02923828125,-1,-1,-1,-1,854.1006658679505,-1
float,standard,3,400,400,20,0.051641,0.002216796875,0.040703125,5.11696740769426,1.1897906469011768e-06,1.3091677725702657,7.078008917267604e-14,108.28964459999997,106.8674
float,kahan,3,400,400,20,0.045361,0.002216796875,0.041640625,5.116967606054015,1.1897906469011768e-06,1.3091678740703077,7.078008917267604e-14,108.289643,106.8674
float,standard,4,400,400,20,0.055263,0.00228515625,0.04373046875,1.6035553052906292e-05,9.273305108257114e-06,1.2856948085628616e-11,4.299709381541375e-12,1101.261845,1101.2617
float,kahan,4,400,400,20,0.046433,0.00228515625,0.0430859375,6.161809201798125e-06,9.273305108257114e-06,1.8983946319682024e-12,4.299709381541375e-12,1101.261814,1101.2617
bfloat,standard,1,400,400,20,0.036837,0.002294921875,0.04484375,18.054197579305068,0.3748209974460823,16.29770251162925,0.007024539006323803,1022.25,1104
bfloat,kahan,1,400,400,20,0.051047,0.002294921875,0.0420703125,0.37550190074799467,0.3748209974460823,0.007050083873267841,0.007024539006323803,1102.0,1104
bfloat,standard,2,400,400,20,0.04736,0.002216796875,0.02880859375,-1,-1,-1,-1,854.0864197502569,-1
bfloat,kahan,2,400,400,20,0.057618,0.002216796875,0.030263671875,-1,-1,-1,-1,854.0864197502569,-1
bfloat,standard,3,400,400,20,0.044051,0.0021875,0.041083984375,5.117952165555803,0.034188313392269166,1.3096717184458666,5.844203863040057e-05,108.296875,107
bfloat,kahan,3,400,400,20,0.044305,0.0021875,0.045576171875,5.110012774195543,0.034188313392269166,1.3056115276220812,5.844203863040057e-05,108.34375,107
bfloat,standard,4,400,400,20,0.050648,0.002255859375,0.0428515625,0.9625357074965321,0.3748209974460823,0.04632374941029248,0.007024539006323803,1102.25,1104
bfloat,kahan,4,400,400,20,0.043058,0.002255859375,0.045419921875,0.46074250598097805,0.3748209974460823,0.01061418284088158,0.007024539006323803,1102.5,1104
double,standard,1,900,900,30,0.048318,0.002490234375,0.045546875,4.0244578538324437e-13,0.0,5.398753672424546e-27,0.0,2704.3116789511087,2704.311678951108
double,kahan,1,900,900,30,0.046477,0.002490234375,0.04603515625,5.5038403647350507e-14,0.0,1.0097419586828951e-28,0.0,2704.311678951108,2704.311678951108
double,standard,2,900,900,30,0.143116,0.002373046875,0.0356640625,-1,-1,-1,-1,2651.0199258746425,-1
double,kahan,2,900,900,30,0.137088,0.002373046875,0.035166015625,-1,-1,-1,-1,2651.0199258746425,-1
double,standard,3,900,900,30,0.043919,0.002216796875,0.041171875,5.2420385892716785,0.0,0.9159656190471136,0.0,181.12827426615073,187.24988876532754
double,kahan,3,900,900,30,0.051298,0.002216796875,0.042099609375,5.242038589271678,0.0,0.9159656190471134,0.0,181.1282742661507,187.24988876532754
double,standard,4,900,900,30,0.048414,0.002294921875,0.044638671875,6.961868572213853e-14,0.0,1.6155871338926323e-28,0.0,2704.3116789511087,2704.311678951108
double,kahan,4,900,900,30,0.041234,0.002294921875,0.04578125,6.029155041345696e-14,0.0,1.211690350419474e-28,0.0,2704.311678951108,2704.311678951108
float,standard,1,900,900,30,0.042617,0.002490234375,0.043828125,0.00020111973250653208,2.435332883946338e-05,1.3483048934499673e-09,1.976948751876796e-11,2704.311731,2704.312
float,kahan,1,900,900,30,0.048079,0.002490234375,0.043193359375,1.9514013793147393e-05,2.435332883946338e-05,1.2693224477304892e-11,1.976948751876796e-11,2704.311739,2704.312
float,standard,2,900,900,30,0.158226,0.002373046875,0.034013671875,-1,-1,-1,-1,2651.01991917274,-1
float,kahan,2,900,900,30,0.143814,0.002373046875,0.035712890625,-1,-1,-1,-1,2651.01991917274,-1
float,standard,3,900,900,30,0.050063,0.002216796875,0.04052734375,5.242038730238518,1.8629688825186258e-06,0.9159656683106885,1.156884352410899e-13,181.12827670000001,187.2499
float,kahan,3,900,900,30,0.036676,0.002216796875,0.042119140625,5.24203835563102,1.8629688825186258e-06,0.9159655373968923,1.156884352410899e-13,181.12827639999998,187.2499
float,standard,4,900,900,30,0.048326,0.00228515625,0.04466796875,4.7741075446927517e-05,2.435332883946338e-05,7.597367616097417e-11,1.976948751876796e-11,2704.311689999999,2704.312
float,kahan,4,900,900,30,0.04177,0.00228515625,0.04447265625,1.894587242747049e-05,2.435332883946338e-05,1.1964869401266216e-11,1.976948751876796e-11,2704.311729,2704.312
bfloat,standard,1,900,900,30,0.05546,0.0024609375,0.042744140625,67.48150344741796,0.8152217642128797,151.79177691746276,0.022152884161545334,2342.0,2736
bfloat,kahan,1,900,900,30,0.054086,0.0024609375,0.04373046875,0.8024687214471927,0.8152217642128797,0.021465201630036408,0.022152884161545334,2705.0,2736
bfloat,standard,2,900,900,30,0.165455,0.00234375,0.031259765625,-1,-1,-1,-1,2651.9576900916886,-1
bfloat,kahan,2,900,900,30,0.132736,0.00234375,0.0293359375,-1,-1,-1,-1,2651.9576900916886,-1
bfloat,standard,3,900,900,30,0.045028,0.0021875,0.0417578125,5.2623092756346335,0.0547696664118407,0.92306329708101,9.999054529547705e-05,181.078125,187
bfloat,kahan,3,900,900,30,0.039799,0.0021875,0.0436328125,5.233736784721919,0.0547696664118407,0.9130666910583778,9.999054529547705e-05,181.15625,187
bfloat,standard,4,900,900,30,0.03517,0.002265625,0.045,3.03937813078525,0.8152217642128797,0.307927314063188,0.022152884161545334,2698.0,2736
bfloat,kahan,4,900,900,30,0.042147,0.002265625,0.042216796875,0.8374131541364659,0.8152217642128797,0.023375359690692814,0.022152884161545334,2705.5,2736
double,standard,1,1600,1600,40,0.050626,0.0025,0.04232421875,1.0974608003555103e-12,0.0,3.011050520792393e-26,0.0,6688.096304161257,6688.096304161256
double,kahan,1,1600,1600,40,0.054431,0.0025,0.044013671875,1.8198773652309366e-13,0.0,8.27988406119974e-28,0.0,6688.096304161258,6688.096304161256
double,standard,2,1600,1600,40,0.314622,0.002373046875,0.03681640625,-1,-1,-1,-1,7497.501175186947,-1
double,kahan,2,1600,1600,40,0.263046,0.002373046875,0.035302734375,-1,-1,-1,-1,7497.501175186947,-1
double,standard,3,1600,1600,40,0.027495,0.0022265625,0.04087890625,8.693139584453112,0.0,1.8892668958696404,0.0,326.25496825114146,326.6980677766637
double,kahan,3,1600,1600,40,0.04145,0.0022265625,0.041376953125,8.693139584453114,0.0,1.8892668958696412,0.0,326.25496825114146,326.6980677766637
double,standard,4,1600,1600,40,0.047269,0.002294921875,0.0437890625,2.8563464471519893e-13,0.0,2.039678756539448e-27,0.0,6688.096304161258,6688.096304161256
double,kahan,4,1600,1600,40,0.04076,0.002294921875,0.044970703125,1.8852829216231156e-13,0.0,8.885729236409478e-28,0.0,6688.096304161258,6688.096304161256
float,standard,1,1600,1600,40,0.048038,0.002490234375,0.043232421875,0.0006712767996994453,3.9132652313436066e-05,1.1265313545368229e-08,3.8284111927106826e-11,6688.0963,6688.096
float,kahan,1,1600,1600,40,0.04429,0.002490234375,0.043603515625,3.2708274403944946e-05,3.9132652313436066e-05,2.6745780362094008e-11,3.8284111927106826e-11,6688.09635,6688.096
float,standard,2,1600,1600,40,0.389215,0.002373046875,0.0335546875,-1,-1,-1,-1,7497.501189262968,-1
float,kahan,2,1600,1600,40,0.342774,0.002373046875,0.034267578125,-1,-1,-1,-1,7497.501189262968,-1
float,standard,3,1600,1600,40,0.04294,0.002216796875,0.046162109375,8.693139817270282,2.447631339813058e-06,1.8892669970652498,1.497724793908766e-13,326.2549834,326.69806
float,kahan,3,1600,1600,40,0.041937,0.002216796875,0.0439453125,8.693139270991107,2.447631339813058e-06,1.889266759621195,1.497724793908766e-13,326.25496830000003,326.69806
float,standard,4,1600,1600,40,0.040136,0.00228515625,0.042939453125,0.00012053739617266942,3.9132652313436066e-05,3.6323159690217654e-10,3.8284111927106826e-11,6688.09662,6688.096
float,kahan,4,1600,1600,40,0.045936,0.002294921875,0.044228515625,3.574835420290703e-05,3.9132652313436066e-05,3.1948620705412526e-11,3.8284111927106826e-11,6688.0962899999995,6688.096
bfloat,standard,1,1600,1600,40,0.069442,0.002470703125,0.0430078125,279.3859183062374,2.05312643304576,1951.4122836954884,0.10538320375178012,4936.0,6720
bfloat,kahan,1,1600,1600,40,0.047987,0.002470703125,0.044072265625,2.0270630131884375,2.05312643304576,0.10272461148591469,0.10538320375178012,6692.0,6720
bfloat,standard,2,1600,1600,40,0.261528,0.00234375,0.036767578125,-1,-1,-1,-1,7498.229135142629,-1
bfloat,kahan,2,1600,1600,40,0.229228,0.00234375,0.03603515625,-1,-1,-1,-1,7498.229135142629,-1
bfloat,standard,3,1600,1600,40,0.037398,0.002197265625,0.04103515625,8.668544325589385,0.09748000731156273,1.8785915181176982,0.00023755879563655807,325.21875,328
bfloat,kahan,3,1600,1600,40,0.040172,0.002197265625,0.04365234375,8.665127009857928,0.09748000731156273,1.877110652424235,0.00023755879563655807,326.25,328
bfloat,standard,4,1600,1600,40,0.040013,0.002265625,0.042861328125,8.744152322824842,2.05312643304576,1.911504996119077,0.10538320375178012,6663.0,6720
bfloat,kahan,4,1600,1600,40,0.038586,0.002265625,0.0424609375,2.1656676714369945,2.05312643304576,0.11725291157768333,0.10538320375178012,6688.0,6720
double,standard,1,3600,3600,60,0.057718,0.0025,0.043701171875,4.981183313463082e-12,0.0,4.1353645337205075e-25,0.0,29534.18489522527,29534.18489522527
double,kahan,1,3600,3600,60,0.039027,0.0025,0.043857421875,5.052353581797654e-13,0.0,4.254379452583931e-27,0.0,29534.18489522527,29534.18489522527
double,standard,2,3600,3600,60,0.775062,0.002392578125,0.037783203125,-1,-1,-1,-1,28863.900630795775,-1
double,kahan,2,3600,3600,60,1.13565,0.002392578125,0.0380078125,-1,-1,-1,-1,28863.900630795775,-1
double,standard,3,3600,3600,60,0.033797,0.002216796875,0.042099609375,15.111433300552772,0.0,3.8059236066175877,0.0,983.5329935682795,997.5119929953914
double,kahan,3,3600,3600,60,0.035303,0.002216796875,0.04150390625,15.111433300552775,0.0,3.805923606617589,0.0,983.5329935682795,997.5119929953914
double,standard,4,3600,3600,60,0.037878,0.002294921875,0.043505859375,9.041499265883241e-13,0.0,1.3624784829161198e-26,0.0,29534.184895225266,29534.18489522527
